Date,Close
1/2/2018 16:00:00,64.11
1/3/2018 16:00:00,63.45
1/4/2018 16:00:00,62.92
1/5/2018 16:00:00,63.32
1/8/2018 16:00:00,67.28
1/9/2018 16:00:00,66.74
1/10/2018 16:00:00,66.96
1/11/2018 16:00:00,67.59
1/12/2018 16:00:00,67.24
1/16/2018 16:00:00,68.01
1/17/2018 16:00:00,69.43
1/18/2018 16:00:00,68.91
1/19/2018 16:00:00,70
1/22/2018 16:00:00,70.31
1/23/2018 16:00:00,70.56
1/24/2018 16:00:00,69.18
1/25/2018 16:00:00,67.53
1/26/2018 16:00:00,68.57
1/29/2018 16:00:00,69.91
1/30/2018 16:00:00,69.16
1/31/2018 16:00:00,70.86
2/1/2018 16:00:00,69.85
2/2/2018 16:00:00,68.75
2/5/2018 16:00:00,66.63
2/6/2018 16:00:00,66.79
2/7/2018 16:00:00,69
2/8/2018 16:00:00,63.05
2/9/2018 16:00:00,62.08
2/12/2018 16:00:00,63.15
2/13/2018 16:00:00,64.73
2/14/2018 16:00:00,64.46
2/15/2018 16:00:00,66.81
2/16/2018 16:00:00,67.1
2/20/2018 16:00:00,66.95
2/21/2018 16:00:00,66.66
2/22/2018 16:00:00,69.23
2/23/2018 16:00:00,70.41
2/26/2018 16:00:00,71.48
2/27/2018 16:00:00,70.2
2/28/2018 16:00:00,68.61
3/1/2018 16:00:00,66.19
3/2/2018 16:00:00,67.02
3/5/2018 16:00:00,66.67
3/6/2018 16:00:00,65.64
3/7/2018 16:00:00,66.46
3/8/2018 16:00:00,65.82
3/9/2018 16:00:00,65.43
3/12/2018 16:00:00,69.1
3/13/2018 16:00:00,68.37
3/14/2018 16:00:00,65.33
3/15/2018 16:00:00,65.12
3/16/2018 16:00:00,64.27
3/19/2018 16:00:00,62.71
3/20/2018 16:00:00,62.11
3/21/2018 16:00:00,63.31
3/22/2018 16:00:00,61.82
3/23/2018 16:00:00,60.31
3/26/2018 16:00:00,60.84
3/27/2018 16:00:00,55.84
3/28/2018 16:00:00,51.56
3/29/2018 16:00:00,53.23
4/2/2018 16:00:00,50.5
4/3/2018 16:00:00,53.51
4/4/2018 16:00:00,57.39
4/5/2018 16:00:00,61.14
4/6/2018 16:00:00,59.86
4/9/2018 16:00:00,57.93
4/10/2018 16:00:00,60.94
4/11/2018 16:00:00,60.19
4/12/2018 16:00:00,58.82
4/13/2018 16:00:00,60.07
4/16/2018 16:00:00,58.24
4/17/2018 16:00:00,57.54
4/18/2018 16:00:00,58.67
4/19/2018 16:00:00,60.02
4/20/2018 16:00:00,58.05
4/23/2018 16:00:00,56.67
4/24/2018 16:00:00,56.69
4/25/2018 16:00:00,56.14
4/26/2018 16:00:00,57.1
4/27/2018 16:00:00,58.82
4/30/2018 16:00:00,58.78
5/1/2018 16:00:00,59.98
5/2/2018 16:00:00,60.23
5/3/2018 16:00:00,56.89
5/4/2018 16:00:00,58.82
5/7/2018 16:00:00,60.55
5/8/2018 16:00:00,60.39
5/9/2018 16:00:00,61.37
5/10/2018 16:00:00,61
5/11/2018 16:00:00,60.21
5/14/2018 16:00:00,58.39
5/15/2018 16:00:00,56.84
5/16/2018 16:00:00,57.3
5/17/2018 16:00:00,56.91
5/18/2018 16:00:00,56.91
5/21/2018 16:00:00,56.9
5/22/2018 16:00:00,55
5/23/2018 16:00:00,55.81
5/24/2018 16:00:00,55.57
5/25/2018 16:00:00,55.77
5/29/2018 16:00:00,56.75
5/30/2018 16:00:00,58.34
5/31/2018 16:00:00,56.95
6/1/2018 16:00:00,58.36
6/4/2018 16:00:00,59.35
6/5/2018 16:00:00,58.23
6/6/2018 16:00:00,63.9
6/7/2018 16:00:00,63.22
6/8/2018 16:00:00,63.53
6/11/2018 16:00:00,66.42
6/12/2018 16:00:00,68.55
6/13/2018 16:00:00,68.96
6/14/2018 16:00:00,71.54
6/15/2018 16:00:00,71.63
6/18/2018 16:00:00,74.17
6/19/2018 16:00:00,70.51
6/20/2018 16:00:00,72.44
6/21/2018 16:00:00,69.5
6/22/2018 16:00:00,66.73
6/25/2018 16:00:00,66.6
6/26/2018 16:00:00,68.4
6/27/2018 16:00:00,68.9
6/28/2018 16:00:00,69.99
6/29/2018 16:00:00,68.59
7/2/2018 16:00:00,67.01
7/3/2018 13:00:00,62.17
7/5/2018 16:00:00,61.83
7/6/2018 16:00:00,61.78
7/9/2018 16:00:00,63.7
7/10/2018 16:00:00,64.49
7/11/2018 16:00:00,63.79
7/12/2018 16:00:00,63.34
7/13/2018 16:00:00,63.77
7/16/2018 16:00:00,62.02
7/17/2018 16:00:00,64.54
7/18/2018 16:00:00,64.77
7/19/2018 16:00:00,64.05
7/20/2018 16:00:00,62.72
7/23/2018 16:00:00,60.64
7/24/2018 16:00:00,59.49
7/25/2018 16:00:00,61.75
7/26/2018 16:00:00,61.33
7/27/2018 16:00:00,59.44
7/30/2018 16:00:00,58.03
7/31/2018 16:00:00,59.63
8/1/2018 16:00:00,60.17
8/2/2018 16:00:00,69.91
8/3/2018 16:00:00,69.63
8/6/2018 16:00:00,68.4
8/7/2018 16:00:00,75.91
8/8/2018 16:00:00,74.07
8/9/2018 16:00:00,70.49
8/10/2018 16:00:00,71.1
8/13/2018 16:00:00,71.28
8/14/2018 16:00:00,69.53
8/15/2018 16:00:00,67.74
8/16/2018 16:00:00,67.09
8/17/2018 16:00:00,61.1
8/20/2018 16:00:00,61.69
8/21/2018 16:00:00,64.38
8/22/2018 16:00:00,64.33
8/23/2018 16:00:00,64.02
8/24/2018 16:00:00,64.56
8/27/2018 16:00:00,63.85
8/28/2018 16:00:00,62.37
8/29/2018 16:00:00,61
8/30/2018 16:00:00,60.63
8/31/2018 16:00:00,60.33
9/4/2018 16:00:00,57.79
9/5/2018 16:00:00,56.15
9/6/2018 16:00:00,56.19
9/7/2018 16:00:00,52.65
9/10/2018 16:00:00,57.1
9/11/2018 16:00:00,55.89
9/12/2018 16:00:00,58.11
9/13/2018 16:00:00,57.89
9/14/2018 16:00:00,59.04
9/17/2018 16:00:00,58.97
9/18/2018 16:00:00,56.99
9/19/2018 16:00:00,59.8
9/20/2018 16:00:00,59.67
9/21/2018 16:00:00,59.82
9/24/2018 16:00:00,59.94
9/25/2018 16:00:00,60.2
9/26/2018 16:00:00,61.92
9/27/2018 16:00:00,61.5
9/28/2018 16:00:00,52.95
10/1/2018 16:00:00,62.14
10/2/2018 16:00:00,60.2
10/3/2018 16:00:00,58.96
10/4/2018 16:00:00,56.37
